ACER,ALCATEL,ALLVIEW,AMAZON,AOC,APPLE,ARCHOS,ASUS,Barnes&Noble,BQ,BLU,CAT,CELKON,Croma,D-Link,Datawind,DELL,Flipkart,GeeksPhone,GlobalSpaceTechnologies,Google,HP,HTC,HONOR,HUAWEI,ICEMOBILE,Intex,iBall,iBerry,JOLLA,KARBONN,LAVA,LENOVO,LG,MapmyIndia,Mercury,Metis,MICROMAX,MICROSOFT,Milagrow,MillenniumTelesystems,Mitashi,MOTOROLA,Nokia,Notion Ink,NVIDIA,Panasonic,Pantel,PLUM,PRESTIGO,QMOBILE,QTEK,RAZER,REALME,SAGEM,SAMSUNG,Smart,Smartlink,Smartron,SONY,SPICE,Swipe,T-MOBILE,Toshiba,VERYKOOL,Videocon,Wickedleak,Wintab,XIAOMI,XOLO,YEZZ,ZTE,Zebronics
Iconia Tab A3-A20FHD,,,,,iPad mini (2019),,Memo Pad 10 ME103K,,,,,,,,,,,,,,,,,MediaPad 7 Lite,,,iBall Slide Brisk 4G2,,,,,Tab 2 A7-10,,,,,Micromax Funbook Mini P410i,,,,,,,,,,,,MultiPad 7.0 HD +,,,,,,Galaxy Tab A 9.7,,,,,,,,,,,,,,,,,
Iconia Tab A500,,,,,iPad Pro 12.9 (2018),,Memo Pad 7 ME572CL,,,,,,,,,,,,,,,,,MediaPad 10 FHD,,,iBall Slide Co-Mate,,,,,Yoga Tablet 2 Pro,,,,,Micromax Funbook P255,,,,,,,,,,,,MultiPad 7.0 HD,,,,,,Galaxy Tab A 8.0 & S Pen (2015),,,,,,,,,,,,,,,,,
Iconia Tab A501,,,,,iPad Pro 11,,Memo Pad 7 ME572C,,,,,,,,,,,,,,,,,MediaPad,,,iBall Slide Cuboid,,,,,Yoga Tablet 2 10.1,,,,,Micromax Funbook P280,,,,,,,,,,,,MultiPad 7.0 Ultra +,,,,,,Galaxy Tab A 8.0 (2015),,,,,,,,,,,,,,,,,
Iconia Tab A510,,,,,iPad 9.7 (2017),,Fonepad 7 FE375CL,,,,,,,,,,,,,,,,,MediaPad S7-301w,,,iBall Slide Cuddle 4G,,,,,Yoga Tablet 2 8.0,,,,,Micromax Funbook Ultra HD,,,,,,,,,,,,MultiPad 7.0 Ultra,,,,,,Galaxy Tab 3 Lite 7.0 VE,,,,,,,,,,,,,,,,,
Iconia Tab A511,,,,,iPad Pro 12.9 (2015),,Fonepad 7 FE171CG,,,,,,,,,,,,,,,,,IDEOS S7 Slim,,,iBall Slide Cuddle A4,,,,,Tab S8,,,,,,,,,,,,,,,,,MultiPad 7.0 Prime +,,,,,,Galaxy Tab 10.1 LTE I905,,,,,,,,,,,,,,,,,
Iconia Tab A700,,,,,Apple iPad (1st Generation),,Fonepad 7 (2014),,,,,,,,,,,,,,,,,IDEOS S7 Slim CDMA,,,iBall Slide Elan 3x32,,,,,A10-70 A7600,,,,,,,,,,,,,,,,,MultiPad 7.0 Prime,,,,,,Galaxy Tab 10.1 P7510,,,,,,,,,,,,,,,,,
Iconia Tab A701,,,,,Apple iPad (3rd Generation),,Memo Pad 10,,,,,,,,,,,,,,,,,MatePad Pro,,,iBall Slide Elan 4G2,,,,,A8-50 A5500,,,,,,,,,,,,,,,,,MultiPad 7.0 Pro,,,,,,Galaxy Tab 2 10.1 CDMA,,,,,,,,,,,,,,,,,
Iconia Tab B1-710,,,,,Apple iPad (4th Generation),,Memo Pad 8 ME180A,,,,,,,,,,,,,,,,,Mate X,,,iBall Slide Enzo V8,,,,,A7-50 A3500,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 2 10.1 P5100,,,,,,,,,,,,,,,,,
Iconia Tab B1-A71,,,,,Apple iPad (5th Generation),,Fonepad 7,,,,,,,,,,,,,,,,,MediaPad M6 10.8,,,iBall Slide Gorgeo 4GL,,,,,A7-30 A3300,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 2 10.1 P5110,,,,,,,,,,,,,,,,,
IconiaOne 8 B1-820,,,,,Apple iPad (6th Generation),,Google Nexus 7 (2013),,,,,,,,,,,,,,,,,MediaPad M6 Turbo 8.4,,,iBall Slide i701,,,,,Yoga Tablet 10 HD+,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 2 7.0 I705,,,,,,,,,,,,,,,,,
,,,,,Apple iPad (7th Generation),,Transformer Pad TF701T,,,,,,,,,,,,,,,,,MediaPad M6 8.4,,,iBall Slide Imprint 4G,,,,,IdeaTab S6000H,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 2 7.0 P3100,,,,,,,,,,,,,,,,,
,,,,,,,Memo Pad FHD10,,,,,,,,,,,,,,,,,MediaPad M5 10 (Pro),,,iBall Slide Nimble 4GF,,,,,IdeaTab S6000F,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 2 7.0 P3110,,,,,,,,,,,,,,,,,
