ACER,ALCATEL,ALLVIEW,AMAZON,AOC,AMOI,APPLE,ARCHOS,ASUS,AT&T,BENEFON,BENQ,BENQ-SIEMENS,BIRD,BLACKBERRY,BLACK VIEW,BLU,BOSCH,BQ,CASIO,CAT,CELKON,CHEA,COOLPAD ,DELL,EMPORIA,ENERGIZER,ERICSSON,ETEN,FUJITSU SIEMENS,GARMIN-AUS,GIGABYTE,GIONEE,GOGGLE,HAIER,HONOR,HP,HTC,HUAWEI,I-MATE,I-MOBILE,ICEMOBILE,INFINIX,INNOSTREAM,INQ,INTEX,JOLLA,KARBONN,KYOCERA,LAVA,LEECO,LENOVO,LG,MAXON,MAXWEST,MEIZU,MICROMAX,MICROSOFT,MITAC,MITSUBISHI,MODU,MOTOROLA,MWG,NEC,NEONODE,NIU,NOKIA,NVIDIA,O2,ONEPLUS,OPPO,ORANGE,PALM,PANASONIC,PANTAECH,PARLA,PHILIPS,PLUM,POSH,PRESTIGO,QMOBILE,QTEK,RAZER,REALME,SAGEM,SAMSUNG,SENDO,SEWON,SHARP,SIEMENS,SONIM,SONY,SONY ERICSSON,SPICE,T-MOBILE,TCL,TECNO,TEL.ME.,TELIT,THURAYA,TOSHIBA,ULEFONE,UNNECTO,VERTU,VERYKOOL,VIVO,VK MOBILE,VODAFONE,WIKO,WND,XCUTE,XIAOMI,XOLO,YEZZ,YOTA,YU,ZTE
,OT 735,Viva H7 LTE,,,,,,,,,,,,,,Life View 8.0,,,,,A97i,,,,,,,,,,,,,,,,MAX 4G,nova 2s,,,,,,,,,,,,,Vibe X S960,G3 Stylus,,,,Canvas Mega 2 Q426,,,,,EX112,,,,,6220,,,,,,,,,,W725,,,,,,,,,C6620,,,,,,,Z558,,,,,,,,,,,,Sl5200 Eclipse,,,,,,,,,,,,Grand X2 In
,OT 735i,Viva D8,,,,,,,,,,,,,,Life View Tab,,,,,C262,,,,,,,,,,,,,,,,Merge,nova 3,,,,,,,,,,,,,Vibe X2,G3000,,,,Canvas Mega 4G Q417,,,,,EX115,,,,,6230,,,,,,,,,,W727,,,,,,,,,C6625,,,,,,,Z600,,,,,,,,,,,,SL5550 Maverick LTE,,,,,,,,,,,,Grand X4
,OT 756,Viva i8,,,,,,,,,,,,,,Life X8,,,,,C360,,,,,,,,,,,,,,,,MTeoR,nova 3i,,,,,,,,,,,,,Vibe X2 Pro,G3100,,,,Canvas Mega E353,,,,,EX119,,,,,6233,,,,,,,,,,W732,,,,,,,,,C6712 Star II DUOS,,,,,,,Z610,,,,,,,,,,,,SL5560 Maverick Pro,,,,,,,,,,,,Grand Xmax
,OT 757,Viva Q7 Life,,,,,,,,,,,,,,Life XL,,,,,C359,,,,,,,,,,,,,,,,One,nova 4,,,,,,,,,,,,,Vibe X3,G350,,,,Canvas Nitro 2 E311,,,,,EX122,,,,,6234,,,,,,,,,,W736,,,,,,,,,Ch@t 220,,,,,,,Z700,,,,,,,,,,,,SL5565 Rocket,,,,,,,,,,,,Groove X501
,OT 835,3 Speed Quad HD,,,,,,,,,,,,,,Lindy,,,,,C350,,,,,,,,,,,,,,,,One (E8),nova 4e,,,,,,,,,,,,,Vibe X3 c78,G360,,,,Canvas Nitro 3 E352,,,,,EX128,,,,,6250,,,,,,,,,,W737,,,,,,,,,Ch@t 222,,,,,,,Z710,,,,,,,,,,,,SL6010 Cyprus LTE,,,,,,,,,,,,Hawkeye
,OT Club,City Life,,,,,,,,,,,,,,Magic,,,,,A97,,,,,,,,,,,,,,,,One (E8) CDMA,nova 5,,,,,,,,,,,,,Vibe Z K910,G4,,,,Canvas Nitro 4G E455,,,,,EX201,,,,,6260,,,,,,,,,,W7376,,,,,,,,,Ch@t 322,,,,,,,Z750,,,,,,,,,,,,T742,,,,,,,,,,,,Iconic Phablet
,OT Club +,2 Speed Quad,,,,,,,,,,,,,,Neo,,,,,A95,,,,,,,,,,,,,,,,One (M8 Eye),nova 5 Pro,,,,,,,,,,,,,Vibe Z2,G4 Beat,,,,Canvas Pace 4G Q416,,,,,EX210,,,,,6263,,,,,,,,,,W7555,,,,,,,,,Ch@t 322 Wi-Fi,,,,,,,Z770,,,,,,,,,,,,,,,,,,,,,,,,Imperial
,OT Club db,City+,,,,,,,,,,,,,,Neo 3.5,,,,,A90,,,,,,,,,,,,,,,,One (M8),nova 5i,,,,,,,,,,,,,Vibe Z2 Pro,G4 Dual,,,,Canvas Pep Q371,,,,,EX212,,,,,6267,,,,,,,,,,W820,,,,,,,,,Ch@t 333,,,,,,,Z780,,,,,,,,,,,,,,,,,,,,,,,,Imperial II
,OT COM,Viva H8,,,,,,,,,,,,,,Neo 4.5,,,,,A99+,,,,,,,,,,,,,,,,One (M8) CDMA,nova 5i Pro,,,,,,,,,,,,,Z5,G4 Pro,,,,Canvas Play 4G Q469,,,,,EX226,,,,,6270,,,,,,,,,,W832,,,,,,,,,Ch@t 335,,,,,,,Z800,,,,,,,,,,,,,,,,,,,,,,,,Kis 3
,OT Easy,Viva Q8,,,,,,,,,,,,,,Neo Pro,,,,,C770N,,,,,,,,,,,,,,,,One (M8) dual sim,nova 5T,,,,,,,,,,,,,Z5 Pro,G4 Stylus,,,,Canvas Play Q355,,,,,EX232,,,,,6280,,,,,,,,,,W8355,,,,,,,,,Ch@t 350,,,,,,,Zylo,,,,,,,,,,,,,,,,,,,,,,,,Kis 3 Max
,OT Easy db,Start M7,,,,,,,,,,,,,,Neo X,,,,,C705,,,,,,,,,,,,,,,,One (M8) for Windows,nova 5z,,,,,,,,,,,,,Z5 Pro GT,G4c,,,,Canvas Pulse 4G E451,,,,,EX300,,,,,6282,,,,,,,,,,W8500,,,,,,,,,Ch@t 357,,,,,,,Live with Walkman,,,,,,,,,,,,,,,,,,,,,,,,Kis III V790
,OT Easy HF,P5 Symbol,,,,,,,,,,,,,,Neo X LTE,,,,,C606,,,,,,,,,,,,,,,,One (M8) for Windows (CDMA),nova 6,,,,,,,,,,,,,Z5s,G5,,,,Canvas Selfie 2 Q340,,,,,Fire,,,,,6288,,,,,,,,,,W8510,,,,,,,,,Ch@t 527,,,,,,,Mix Walkman,,,,,,,,,,,,,,,,,,,,,,,,Kis V788
,OT Gum db,Viper i V1,,,,,,,,,,,,,,Neo X Mini,,,,,C570,,,,,,,,,,,,,,,,One (M8i),nova 6 5G,,,,,,,,,,,,,Z6,G5 SE,,,,Canvas Selfie 3 Q348,,,,,FIRE XT,,,,,6290,,,,,,,,,,W8555,,,,,,,,,Champ Neo Duos C3262,,,,,,,Hazel,,,,,,,,,,,,,,,,,,,,,,,,Libra
,OT Max,Viper V1,,,,,,,,,,,,,,Neo X Plus,,,,,C504,,,,,,,,,,,,,,,,One A9,nova 6 SE,,,,,,,,,,,,,Z6 Pro,G5200,,,,Canvas Selfie 3 Q460,,,,,FIRE XT311,,,,,6300,,,,,,,,,,W8560,,,,,,,,,Comment 2 R390C,,,,,,,Elm,,,,,,,,,,,,,,,,,,,,,,,,Light Tab 300
,OT Max db,P5 Qmax,,,,,,,,,,,,,,Neo XL,,,,,C206,,,,,,,,,,,,,,,,One A9s,nova 7i,,,,,,,,,,,,,Z6 Pro 5G,G5300,,,,Canvas Selfie 4,,,,,FlipOut,,,,,6301,,,,,,,,,,W8568,,,,,,,,,Conquer 4G,,,,,,,Jalou D&G edition,,,,,,,,,,,,,,,,,,,,,,,,Maven
,OT Pocket,P6 Quad,,,,,,,,,,,,,,Neo XT,,,,,C203,,,,,,,,,,,,,,,,One Dual Sim,nova plus,,,,,,,,,,,,,Z6 Youth,G5310,,,,Canvas Selfie A255,,,,,FLIPSIDE MB508,,,,,6310,,,,,,,,,,W8578,,,,,,,,,Continuum I400,,,,,,,Jalou,,,,,,,,,,,,,,,,,,,,,,,,Maven 2
,OT Pro,Simply S5,,,,,,,,,,,,,,Pure View,,,,,C17,,,,,,,,,,,,,,,,One E9,P smart,,,,,,,,,,,,,ZUK Edge,G5400,,,,Canvas Selfie Lens Q345,,,,,GLEAM,,,,,6350,,,,,,,,,,W920,,,,,,,,,Convoy 2,,,,,,,J105 Naite,,,,,,,,,,,,,,,,,,,,,,,,Max XL
,OT View,A4ALL,,,,,,,,,,,,,,Pure XL,,,,,C75,,,,,,,,,,,,,,,,One E9+,P smart 2019,,,,,,,,,,,,,ZUK Z1,G5500,,,,Canvas Sliver 5 Q450,,,,,Grasp WX404,,,,,6500,,,,,,,,,,W930,,,,,,,,,Corby TV F339,,,,,,,C903,,,,,,,,,,,,,,,,,,,,,,,,Memo
,OT View db,P4 Duo,,,,,,,,,,,,,,Pure XR,,,,,i4,,,,,,,,,,,,,,,,One E9s dual sim,P smart Pro 2019,,,,,,,,,,,,,ZUK Z2,G6,,,,Canvas Spark 2 Plus Q350,,,,,Karma QA1,,,,,6510,,,,,,,,,,W9588,,,,,,,,,D100,,,,,,,G705,,,,,,,,,,,,,,,,,,,,,,,,N280
